"Time","LiqFrac_H","LiqFrac_MET","LiqFrac_STY","LiqFrac_TOL","LiqFrac_WAT","vapFrac_H","vapFrac_MET","vapFrac_STY","vapFrac_TOL","vapFrac_WAT","P_bar","T_c","T_dec"
"0.66","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.1643"
"0.67","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.1568"
"0.68","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.1492"
"0.69","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.1417"
"0.7","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.1341"
"0.71","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.1266"
"0.72","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.1192"
"0.73","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.1117"
"0.74","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.1043"
"0.75","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.0968"
"0.76","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.0895"
"0.77","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.0821"
"0.78","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.0748"
"0.79","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.0674"
"0.8","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.0601"
"0.81","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.0528"
"0.82","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.0456"
"0.83","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.0383"
"0.84","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.0311"
"0.85","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.0239"
"0.86","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.0167"
"0.87","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.0096"
"0.88","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","43.0024"
"0.89","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.9953"
"0.9","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.9881"
"0.91","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.9811"
"0.92","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.974"
"0.93","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.967"
"0.94","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.9599"
"0.95","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.9529"
"0.96","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.946"
"0.97","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.939"
"0.98","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.9321"
"0.99","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.9251"
"1","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.9182"
"1.01","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.9113"
"1.02","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.9044"
"1.03","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.8976"
"1.04","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.8907"
"1.05","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.8839"
"1.06","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.8771"
"1.07","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.8704"
"1.08","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.8636"
"1.09","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.8568"
"1.1","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.8501"
"1.11","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.8433"
"1.12","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.8367"
"1.13","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.8301"
"1.14","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.8234"
"1.15","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.8168"
"1.16","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.8102"
"1.17","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.8035"
"1.18","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.7969"
"1.19","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.7904"
"1.2","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.7839"
"1.21","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.7774"
"1.22","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.7709"
"1.23","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.7644"
"1.24","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.7578"
"1.25","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.7513"
"1.26","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.7448"
"1.27","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.7385"
"1.28","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.7321"
"1.29","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.7257"
"1.3","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.7193"
"1.31","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.713"
"1.32","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.7066"
"1.33","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.7002"
"1.34","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.694"
"1.35","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.6877"
"1.36","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.6815"
"1.37","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.6752"
"1.38","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.6689"
"1.39","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.6627"
"1.4","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.6564"
"1.41","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.6502"
"1.42","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.644"
"1.43","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.6379"
"1.44","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.6318"
"1.45","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.6257"
"1.46","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.6195"
"1.47","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.6134"
"1.48","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.6073"
"1.49","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.6013"
"1.5","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.5952"
"1.51","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.5892"
"1.52","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.5832"
"1.53","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.5772"
"1.54","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.5712"
"1.55","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.5652"
"1.56","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.5591"
"1.57","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.5533"
"1.58","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.5474"
"1.59","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.5415"
"1.6","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.5356"
"1.61","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.5297"
"1.62","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.5238"
"1.63","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.5179"
"1.64","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.512"
"1.65","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.5063"
"1.66","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.5005"
"1.67","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.4947"
"1.68","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.4889"
"1.69","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.4831"
"1.7","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.4773"
"1.71","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.4716"
"1.72","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.4659"
"1.73","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.4602"
"1.74","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.4546"
"1.75","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.4489"
"1.76","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.4432"
"1.77","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.4376"
"1.78","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.4319"
"1.79","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.4262"
"1.8","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.4206"
"1.81","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.4151"
"1.82","0.00082478","0.00966275","0.330546","0.0431492","0.0351876","0.285714","0.0714286","0.285714","0.0714286","0.285714","4.05","200.618","42.4095"
